#Day;Viral load (log 10 copies per ml)
0;3.26534236434066
1;4.84181350256125
2;5.26168452591296
3;4.57400460831773
4;5.87011815514643
5;5.61872825072344
6;3.00477511950542
7;5.05844313462899
8;4.47499124883489
9;3.57970496609893
10;3.70727059217104
11;3.7892974153382
12;4.92732924869026
13;4.08200637853082
14;3.77274812669894
15;4.01116154483999
16;4.1359599386791
17;2.88871064000723
18;3.38170542973061
19;3.90719299893075
20;3.57970496609893
21;2.26076112928534
22;2.38267745420373
23;2.07127158650235
24;1.99126524691766
25;1.52466820277258
26;1.52466820277258
27;1.52466820277258
28;1.5313562119689
29;1.52466820277258
