Day,Viral_load
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,3.26534236434066
15,4.84181350256125
16,5.26168452591296
17,4.57400460831773
18,5.87011815514643
19,5.61872825072344
20,3.00477511950542
21,5.05844313462899
22,4.47499124883489
23,3.57970496609893
24,3.70727059217104
25,3.7892974153382
26,4.92732924869026
27,4.08200637853082
28,3.77274812669894
29,4.01116154483999
30,4.1359599386791
31,2.88871064000723
32,3.38170542973061
33,3.90719299893075
34,3.57970496609893
35,2.26076112928534
36,2.38267745420373
37,2.07127158650235
38,1.99126524691766
40,1.52466820277258
41,1.52466820277258
42,1.52466820277258
43,1.5313562119689
44,1.52466820277258
