,Param Name,Distribution Name,Distribution Params
0,v0,uniform,[48.83982431 24.37622834]
1,pi_c_apm,lognorm,[ 1.30560163e-02 -1.64655991e+03  1.99246451e+03]
2,pi_c_i,lognorm,[0.10420343 0.00359514 0.0942931 ]
3,pi_c_tke,norm,[0.01879114 0.00189603]
4,delta_c,norm,[671.22934619  57.31897524]
5,beta_apm,lognorm,[0.51516051 0.011632   0.00142356]
6,k_v3,lognorm,[0.60373956 0.05009461 0.00587583]
7,beta_tke,uniform,[8.00069963e-07 3.99393172e-07]
8,pi_v,lognorm,[0.08611069 0.75059568 0.79230733]
9,k_v1,lognorm,[0.63535924 0.00749293 0.00142685]
10,k_v2,lognorm,[4.53661573e-01 4.55125024e-05 9.85835069e-06]
11,beta_Ap,lognorm,[ 0.04637806 -0.08710187  0.26697789]
